CODE	CODE2	DISPLAY	SYSTEM	VALIDCODE	ACCPDX	ASTERISK	IM
00	00	Procedures and interventions, not elsewhere classified	ICD9CM_2010_IM	0	Y	0	0
00.0	000	Therapeutic ultrasound	ICD9CM_2010_IM	0	Y	0	0
00.01	0001	Therapeutic ultrasound of vessels of head and neck	ICD9CM_2010_IM	1	Y	0	0
00.02	0002	Therapeutic ultrasound of heart	ICD9CM_2010_IM	1	Y	0	0
00.03	0003	Therapeutic ultrasound of peripheral vascular vessels	ICD9CM_2010_IM	1	Y	0	0
00.09	0009	Other therapeutic ultrasound	ICD9CM_2010_IM	1	Y	0	0
00.1	001	Pharmaceuticals	ICD9CM_2010_IM	0	Y	0	0
00.10	0010	Implantation of chemotherapeutic agent	ICD9CM_2010_IM	1	Y	0	0
00.11	0011	Infusion of drotrecogin alfa (activated)	ICD9CM_2010_IM	1	Y	0	0
00.12	0012	Administration of inhaled nitric oxide	ICD9CM_2010_IM	1	Y	0	0
00.13	0013	Injection or infusion of nesiritide	ICD9CM_2010_IM	1	Y	0	0
00.14	0014	Injection or infusion of oxazolidinone class of antibiotics	ICD9CM_2010_IM	1	Y	0	0
00.15	0015	High-dose infusion interleukin-2 [IL-2]	ICD9CM_2010_IM	1	Y	0	0
00.16	0016	Pressurized treatment of venous bypass graft [conduit] with pharmaceutical substance	ICD9CM_2010_IM	1	Y	0	0
00.17	0017	Infusion of vasopressor agent	ICD9CM_2010_IM	1	Y	0	0
00.18	0018	Infusion of immunosuppressive antibody therapy	ICD9CM_2010_IM	1	Y	0	0
00.19	0019	Disruption of blood brain barrier via infusion [BBBD]	ICD9CM_2010_IM	1	Y	0	0
00.2	002	Intravascular imaging of blood vessels	ICD9CM_2010_IM	0	Y	0	0
00.21	0021	Intravascular imaging of extracranial cerebral vessels	ICD9CM_2010_IM	1	Y	0	0
00.22	0022	Intravascular imaging of intrathoracic vessels	ICD9CM_2010_IM	1	Y	0	0
00.23	0023	Intravascular imaging of peripheral vessels	ICD9CM_2010_IM	1	Y	0	0
00.24	0024	Intravascular imaging of coronary vessels	ICD9CM_2010_IM	1	Y	0	0
00.25	0025	Intravascular imaging of renal vessels	ICD9CM_2010_IM	1	Y	0	0
00.28	0028	Intravascular imaging, other specified vessel(s)	ICD9CM_2010_IM	1	Y	0	0
00.29	0029	Intravascular imaging, unspecified vessel(s)	ICD9CM_2010_IM	1	Y	0	0
00.3	003	Computer assisted surgery [CAS]	ICD9CM_2010_IM	0	Y	0	0
